"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"4639","South Alabama",5,1,2021,2,"Louisiana",3,1.75
"4640","South Carolina",5,2,2021,3,"Troy",2,1.75
"4641","Southern Mississippi",5,1,2021,0,"Rice",2.75,2
"4642","South Florida",5,0,2021,1,"SMU",0.75,2
"4643","Stanford",5,2,2021,2,"Oregon",2,2.25
"4644","Syracuse",5,2,2021,2,"Florida State",4.5,1
"4645","TCU",5,2,2021,4,"Texas",0.75,3
"4646","Temple",5,3,2021,4,"Memphis",1.5,0.5
"4647","Tennessee",5,1,2021,4,"Missouri",2.25,4
"4648","Texas",5,1,2021,0,"TCU",2.25,1.5
"4649","Texas A&M",5,3,2021,0,"Mississippi State",3,3.5
"4650","Texas Tech",5,2,2021,2,"West Virginia",2.25,4.5
"4651","Toledo",5,1,2021,0,"UMass",3,3
"4652","Troy",5,3,2021,2,"South Carolina",4.5,0.75
"4653","Tulane",5,2,2021,2,"East Carolina",2.75,2.5
"4654","Tulsa",5,0,2021,0,"Houston",2.5,2
"4655","UAB",5,1,2021,1,"Liberty",0.75,2.5
"4656","UCF",5,1,2021,2,"Navy",1.5,4.5
"4657","UCLA",5,0,2021,0,"Arizona State",3.25,3
"4658","UMass",5,1,2021,0,"Toledo",0.5,0.5
"4659","UNLV",5,0,2021,1,"UT San Antonio",1.25,0
"4660","USC",5,5,2021,3,"Colorado",0.75,0.25
"4661","Utah State",5,1,2021,2,"BYU",1.5,2.75
"4662","UTEP",5,3,2021,2,"Old Dominion",3.5,5
"4663","UT San Antonio",5,6,2021,7,"UNLV",1.75,3.75
"4664","Vanderbilt",5,2,2021,2,"Connecticut",0.25,2
"4665","Virginia",5,4,2021,1,"Miami",1.5,3
"4666","Wake Forest",5,3,2021,1,"Louisville",3.75,1.5
"4667","Washington",5,2,2021,3,"Oregon State",1.75,0.75
"4668","Washington State",5,4,2021,2,"California",1,3.5
"4669","Western Kentucky",5,0,2021,3,"Michigan State",1.5,3.75
"4670","Western Michigan",5,1,2021,1,"Buffalo",4,3.5
"4671","West Virginia",5,3,2021,2,"Texas Tech",3.25,2.5
"4672","Wisconsin",5,0,2021,1,"Michigan",2.75,2
"4673","Connecticut",5,1,2021,1,"Vanderbilt",1.75,1.25
"4674","New Mexico State",5,0,2021,1,"San José State",2.25,3.25
"4675","Old Dominion",5,1,2021,4,"UTEP",2,1
"4676","Air Force",6,3,2021,0,"Wyoming",3,3.75
"4677","Alabama",6,0,2021,0,"Texas A&M",2,5.25
"4678","Akron",6,4,2021,2,"Bowling Green",1.75,0.75
"4679","Arizona",6,1,2021,3,"UCLA",1.5,0
"4680","Arizona State",6,5,2021,1,"Stanford",3.5,2.75
